There was a issue with the ethernet connection: System.Net.NetworkInformation.PingException: An exception occurred during a Ping request.
 ---> System.Net.Sockets.SocketException (0x00002AF9): No such host is known.
   at System.Net.Dns.GetHostEntryOrAddressesCore(String hostName, Boolean justAddresses, AddressFamily addressFamily, Nullable`1 startingTimestamp)
   at System.Net.Dns.GetHostAddresses(String hostNameOrAddress, AddressFamily family)
   at System.Net.NetworkInformation.Ping.GetAddressAndSend(String hostNameOrAddress, Int32 timeout, Byte[] buffer, PingOptions options)
   --- End of inner exception stack trace ---
   at System.Net.NetworkInformation.Ping.GetAddressAndSend(String hostNameOrAddress, Int32 timeout, Byte[] buffer, PingOptions options)
   at System.Net.NetworkInformation.Ping.Send(String hostNameOrAddress, Int32 timeout, Byte[] buffer, PingOptions options)
   at ISP_Ping_tester.MainWindow.<startAuto_Click>b__23_0() in C:\Users\Tracks\source\repos\ISP_Ping_tester\MainWindow.xaml.cs:line 201
21/04/2025 17:10:12 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:13 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 13 , Successful ping: True
21/04/2025 17:10:14 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:15 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:16 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 17 , Successful ping: True
21/04/2025 17:10:17 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:18 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 21 , Successful ping: True
21/04/2025 17:10:19 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:20 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:21 , IP: 2a00:1450:4009:81d::2003 , Packet size: 0 , Round trip time: N/A , Successful ping: False
There was a issue with the ethernet connection.
21/04/2025 17:10:49 , IP: 172.217.169.35 , Packet size: 32 , Round trip time: 43 , Successful ping: True
21/04/2025 17:10:50 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 15 , Successful ping: True
21/04/2025 17:10:51 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 14 , Successful ping: True
21/04/2025 17:10:52 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 13 , Successful ping: True
21/04/2025 17:10:53 , IP: 2a00:1450:4009:81d::2003 , Packet size: 32 , Round trip time: 13 , Successful ping: True
There was a issue with the ethernet connection.
